,year,area,台数,車種
153,2001,北,159.0,大型特種
154,2001,鶴見,6666.0,軽自動車
155,2001,阿倍野,4475.0,軽自動車
156,2001,住之江,8227.0,軽自動車
157,2001,住吉,8838.0,軽自動車
158,2001,平野,16355.0,軽自動車
159,2001,東淀川,10287.0,軽自動車
160,2001,淀川,9184.0,軽自動車
161,2001,城東,1369.0,普通車貨物
162,2001,生野,1215.0,普通車貨物
163,2001,東成,979.0,普通車貨物
164,2001,淀川,1419.0,普通車貨物
165,2001,大正,2773.0,普通車貨物
166,2001,旭,574.0,普通車貨物
167,2001,浪速,964.0,普通車貨物
168,2001,旭,5397.0,軽自動車
169,2001,北,1425.0,普通車貨物
170,2001,都島,4524.0,軽自動車
171,2001,城東,6147.0,貨物自動車総数
172,2001,東淀川,209.0,大型特種
173,2001,大正,349.0,大型特種
174,2001,淀川,37.0,大型特種
175,2001,東成,58.0,大型特種
176,2001,生野,107.0,大型特種
177,2001,城東,220.0,大型特種
178,2001,鶴見,166.0,大型特種
179,2001,旭,40.0,大型特種
180,2001,阿倍野,19.0,大型特種
181,2001,住吉,454.0,大型特種
182,2001,平野,98.0,大型特種
183,2001,西成,104.0,大型特種
184,2001,東成,4607.0,貨物自動車総数
185,2001,生野,6024.0,貨物自動車総数
186,2001,住之江,946.0,大型特種
187,2001,港,5330.0,軽自動車
188,2001,浪速,4565.0,軽自動車
189,2001,西淀川,3329.0,普通車貨物
190,2001,此花,2231.0,普通車貨物
191,2001,天王寺,2993.0,貨物自動車総数
192,2001,東淀川,6478.0,貨物自動車総数
193,2001,住吉,724.0,普通車貨物
194,2001,都島,3837.0,貨物自動車総数
195,2001,東住吉,6331.0,貨物自動車総数
196,2001,港,6033.0,貨物自動車総数
197,2001,天王寺,327.0,普通車貨物
198,2001,東淀川,1687.0,普通車貨物
199,2001,住之江,4093.0,普通車貨物
200,2001,港,2129.0,普通車貨物
201,2001,都島,867.0,普通車貨物
202,2001,中央,677.0,普通車貨物
203,2001,平野,2521.0,普通車貨物
204,2001,福島,5203.0,貨物自動車総数
205,2001,西淀川,8211.0,貨物自動車総数
206,2001,西,9584.0,貨物自動車総数
207,2001,福島,1264.0,普通車貨物
208,2001,西成,1694.0,普通車貨物
209,2001,阿倍野,359.0,普通車貨物
210,2001,西,1578.0,普通車貨物
211,2001,北,10609.0,貨物自動車総数
212,2001,此花,5088.0,貨物自動車総数
213,2001,東住吉,1026.0,特種用途車
214,2001,中央,9658.0,貨物自動車総数
215,2001,西淀川,785.0,小型二輪
216,2001,福島,451.0,小型二輪
217,2001,此花,521.0,小型二輪
218,2001,中央,964.0,小型二輪
219,2001,生野,940.0,小型二輪
220,2001,東淀川,1817.0,小型二輪
221,2001,港,709.0,小型二輪
222,2001,都島,741.0,小型二輪
223,2001,東住吉,1502.0,普通車貨物
224,2001,大正,5606.0,軽自動車
225,2001,鶴見,2550.0,普通車貨物
226,2001,城東,1240.0,特種用途車
227,2001,天王寺,3338.0,軽自動車
228,2001,西淀川,5954.0,軽自動車
229,2001,住吉,1079.0,小型二輪
230,2001,平野,1405.0,小型二輪
231,2001,西成,660.0,小型二輪
232,2001,東成,577.0,小型二輪
233,2001,天王寺,479.0,小型二輪
234,2001,西,599.0,小型二輪
235,2001,城東,1493.0,小型二輪
236,2001,浪速,4866.0,貨物自動車総数
237,2001,旭,2952.0,貨物自動車総数
238,2001,大正,6424.0,貨物自動車総数
239,2001,中央,27170.0,乗用車総数
240,2001,此花,12802.0,乗用車総数
241,2001,福島,11532.0,乗用車総数
242,2001,西淀川,20938.0,乗用車総数
243,2001,北,25122.0,乗用車総数
244,2001,住之江,855.0,小型二輪
245,2001,浪速,10562.0,乗用車総数
246,2001,阿倍野,722.0,小型二輪
247,2001,東住吉,9716.0,軽自動車
248,2001,東住吉,1080.0,小型二輪
249,2001,淀川,1473.0,小型二輪
250,2001,北,859.0,小型二輪
251,2001,東成,446.0,特種用途車
252,2001,平野,1323.0,特種用途車
253,2001,浪速,407.0,小型二輪
254,2001,住吉,506.0,特種用途車
255,2001,西成,6785.0,軽自動車
256,2001,住之江,2119.0,特種用途車
257,2001,東成,5015.0,軽自動車
258,2001,阿倍野,305.0,特種用途車
259,2001,生野,10170.0,軽自動車
260,2001,城東,8465.0,軽自動車
261,2001,鶴見,836.0,特種用途車
262,2001,大正,557.0,小型二輪
263,2001,鶴見,830.0,小型二輪
264,2001,北,6883.0,軽自動車
265,2001,旭,17261.0,乗用車総数
266,2001,東淀川,34642.0,乗用車総数
267,2001,此花,307.0,大型特種
268,2001,天王寺,31.0,大型特種
269,2001,西,268.0,大型特種
270,2001,中央,178.0,大型特種
271,2001,都島,68.0,大型特種
272,2001,鶴見,6241.0,貨物自動車総数
273,2001,阿倍野,2424.0,貨物自動車総数
274,2001,住吉,3996.0,貨物自動車総数
275,2001,住之江,10770.0,貨物自動車総数
276,2001,平野,10188.0,貨物自動車総数
277,2001,西成,5278.0,貨物自動車総数
278,2001,西,5312.0,軽自動車
279,2001,中央,6061.0,軽自動車
280,2001,此花,4190.0,軽自動車
281,2001,福島,3877.0,軽自動車
282,2001,東住吉,123.0,大型特種
283,2001,淀川,36019.0,乗用車総数
284,2001,大正,15175.0,乗用車総数
285,2001,西,18930.0,乗用車総数
286,2001,都島,17110.0,乗用車総数
287,2001,東成,15031.0,乗用車総数
288,2001,城東,30155.0,乗用車総数
289,2001,鶴見,23286.0,乗用車総数
290,2001,住之江,29176.0,乗用車総数
291,2001,阿倍野,17570.0,乗用車総数
292,2001,住吉,30245.0,乗用車総数
293,2001,都島,432.0,特種用途車
294,2001,淀川,9427.0,貨物自動車総数
295,2001,平野,47112.0,乗用車総数
296,2001,東住吉,28058.0,乗用車総数
297,2001,西成,17260.0,乗用車総数
298,2001,港,15141.0,乗用車総数
299,2001,生野,25588.0,乗用車総数
300,2001,福島,83.0,大型特種
301,2001,天王寺,11792.0,乗用車総数
302,2001,港,8875.0,小型乗用車
303,2001,西成,892.0,特種用途車
304,2001,鶴見,38387.0,自動車総数
305,2001,旭,26961.0,自動車総数
306,2001,西淀川,117.0,バス
307,2001,都島,59.0,電気自動車総数
308,2001,福島,34.0,バス
309,2001,鶴見,3652.0,小型貨物
310,2001,阿倍野,2063.0,小型貨物
311,2001,西,35746.0,自動車総数
312,2001,天王寺,18957.0,自動車総数
313,2001,東淀川,75.0,電気自動車総数
314,2001,浪速,21714.0,自動車総数
315,2001,西淀川,38077.0,自動車総数
316,2001,北,44823.0,自動車総数
317,2001,東住吉,16464.0,小型乗用車
318,2001,西成,3495.0,小型貨物
319,2001,福島,923.0,電気自動車総数
320,2001,淀川,71.0,電気自動車総数
321,2001,浪速,43.0,電気自動車総数
322,2001,大正,3116.0,小型貨物
323,2001,中央,81.0,電気自動車総数
324,2001,西,138.0,電気自動車総数
325,2001,旭,24.0,電気自動車総数
326,2001,住之江,148.0,電気自動車総数
327,2001,福島,23340.0,自動車総数
328,2001,天王寺,2666.0,小型貨物
329,2001,東住吉,313.0,電気自動車総数
330,2001,西成,49.0,電気自動車総数
331,2001,平野,178.0,バス
332,2001,天王寺,18.0,バス
333,2001,都島,26880.0,自動車総数
334,2001,北,191.0,バス
335,2001,東淀川,213.0,バス
336,2001,城東,126.0,バス
337,2001,中央,651.0,特種用途車
338,2001,淀川,81.0,バス
339,2001,東成,3596.0,小型貨物
340,2001,鶴見,76.0,バス
341,2001,中央,50.0,バス
342,2001,東住吉,4803.0,小型貨物
343,2001,住之江,52609.0,自動車総数
344,2001,旭,36.0,バス
345,2001,生野,44144.0,自動車総数
346,2001,東淀川,55004.0,自動車総数
347,2001,港,29765.0,自動車総数
348,2001,淀川,57294.0,自動車総数
349,2001,浪速,13.0,バス
350,2001,大正,26.0,電気自動車総数
351,2001,生野,65.0,バス
352,2001,此花,6.0,電気自動車総数
353,2001,港,77.0,電気自動車総数
354,2001,西淀川,76.0,電気自動車総数
355,2001,阿倍野,9.0,電気自動車総数
356,2001,鶴見,73.0,電気自動車総数
357,2001,城東,79.0,電気自動車総数
358,2001,東成,106.0,電気自動車総数
359,2001,西成,78.0,バス
360,2001,城東,48170.0,自動車総数
361,2001,住吉,45345.0,自動車総数
362,2001,天王寺,50.0,電気自動車総数
363,2001,平野,106.0,電気自動車総数
364,2001,西,7679.0,小型貨物
365,2001,住吉,3254.0,小型貨物
366,2001,住之江,4450.0,小型貨物
367,2001,城東,18441.0,小型乗用車
368,2001,東成,113.0,バス
369,2001,阿倍野,25624.0,自動車総数
370,2001,天王寺,6444.0,小型乗用車
371,2001,住吉,144.0,バス
372,2001,阿倍野,25.0,バス
373,2001,西,11272.0,小型乗用車
374,2001,此花,24428.0,自動車総数
375,2001,平野,28165.0,小型乗用車
376,2001,西成,197.0,小型特殊自動車
377,2001,都島,21.0,バス
378,2001,大正,29222.0,自動車総数
379,2001,阿倍野,84.0,小型特殊自動車
380,2001,西,34.0,バス
381,2001,中央,44942.0,自動車総数
382,2001,此花,207.0,バス
383,2001,西成,31254.0,自動車総数
384,2001,東住吉,46972.0,自動車総数
385,2001,東成,26229.0,自動車総数
386,2001,大正,9122.0,小型乗用車
387,2001,鶴見,13870.0,小型乗用車
388,2001,阿倍野,9663.0,小型乗用車
389,2001,港,326.0,バス
390,2001,東成,3.0,電気小型自動車
391,2001,西成,29.0,電気小型自動車
392,2001,生野,119.0,電気自動車総数
393,2001,住吉,1.0,電気小型自動車
394,2001,東住吉,4.0,電気小型自動車
395,2001,平野,1.0,電気小型自動車
396,2001,平野,7630.0,小型貨物
397,2001,住之江,197.0,バス
398,2001,城東,4746.0,小型貨物
399,2001,住之江,17821.0,小型乗用車
400,2001,生野,4805.0,小型貨物
401,2001,北,94.0,電気自動車総数
402,2001,大正,112.0,バス
403,2001,大正,1.0,電気小型自動車
404,2001,住吉,8.0,電気自動車総数
405,2001,西,11.0,電気小型自動車
406,2001,平野,77165.0,自動車総数
407,2001,天王寺,3.0,電気小型自動車
408,2002,天王寺,11799.0,乗用車総数
409,2002,住之江,28947.0,乗用車総数
410,2002,住吉,29982.0,乗用車総数
411,2002,東住吉,27602.0,乗用車総数
412,2002,住吉,7.0,電気自動車総数
413,2002,此花,2126.0,普通車貨物
414,2002,城東,78.0,電気自動車総数
415,2002,住之江,148.0,電気自動車総数
416,2002,生野,25331.0,乗用車総数
417,2002,都島,16981.0,乗用車総数
418,2002,淀川,35918.0,乗用車総数
419,2002,旭,17198.0,乗用車総数
420,2002,浪速,10419.0,乗用車総数
421,2002,西成,16920.0,乗用車総数
422,2002,天王寺,31.0,大型特種
423,2002,東成,14923.0,乗用車総数
424,2002,東淀川,34218.0,乗用車総数
425,2002,阿倍野,17613.0,乗用車総数
426,2002,生野,106.0,大型特種
427,2002,北,1380.0,普通車貨物
428,2002,住之江,3966.0,普通車貨物
429,2002,大正,14912.0,乗用車総数
430,2002,淀川,74.0,電気自動車総数
431,2002,北,25141.0,乗用車総数
432,2002,中央,178.0,大型特種
433,2002,西,267.0,大型特種
434,2002,天王寺,48.0,電気自動車総数
435,2002,東成,5088.0,軽自動車
436,2002,淀川,9421.0,軽自動車
437,2002,浪速,4365.0,軽自動車
438,2002,大正,5719.0,軽自動車
439,2002,港,5412.0,軽自動車
440,2002,西,5429.0,軽自動車
441,2002,中央,6136.0,軽自動車
442,2002,城東,8652.0,軽自動車
443,2002,此花,4272.0,軽自動車
444,2002,都島,4583.0,軽自動車
445,2002,北,6972.0,軽自動車
446,2002,住之江,8301.0,軽自動車
447,2002,天王寺,3367.0,軽自動車
448,2002,住吉,9052.0,軽自動車
449,2002,福島,3882.0,軽自動車
450,2002,浪速,923.0,普通車貨物
451,2002,淀川,57005.0,自動車総数
452,2002,淀川,1375.0,普通車貨物
453,2002,東淀川,1606.0,普通車貨物
454,2002,東成,936.0,普通車貨物
455,2002,鶴見,6860.0,軽自動車
456,2002,阿倍野,4540.0,軽自動車
457,2002,西成,6882.0,軽自動車
458,2002,東住吉,9806.0,軽自動車
459,2002,東淀川,10567.0,軽自動車
460,2002,生野,1171.0,普通車貨物
461,2002,城東,1293.0,普通車貨物
462,2002,鶴見,2463.0,普通車貨物
463,2002,福島,83.0,大型特種
464,2002,生野,10333.0,軽自動車
465,2002,旭,5250.0,軽自動車
466,2002,大正,2752.0,普通車貨物
467,2002,天王寺,18877.0,自動車総数
468,2002,西淀川,21050.0,乗用車総数
469,2002,東住吉,1436.0,普通車貨物
470,2002,平野,46563.0,乗用車総数
471,2002,天王寺,333.0,普通車貨物
472,2002,都島,828.0,普通車貨物
473,2002,福島,1229.0,普通車貨物
474,2002,中央,646.0,普通車貨物
475,2002,阿倍野,349.0,普通車貨物
476,2002,港,14952.0,乗用車総数
477,2002,東成,57.0,大型特種
478,2002,港,956.0,大型特種
479,2002,城東,48159.0,自動車総数
480,2002,住吉,698.0,普通車貨物
481,2002,平野,2448.0,普通車貨物
482,2002,西,18838.0,乗用車総数
483,2002,住之江,17563.0,小型乗用車
484,2002,浪速,804.0,特種用途車
485,2002,浪速,201.0,大型特種
486,2002,此花,299.0,大型特種
487,2002,西成,1647.0,普通車貨物
488,2002,西淀川,3251.0,普通車貨物
489,2002,旭,528.0,普通車貨物
490,2002,平野,1377.0,小型二輪
491,2002,東住吉,1083.0,小型二輪
492,2002,住吉,1086.0,小型二輪
493,2002,北,15157.0,小型乗用車
494,2002,都島,9613.0,小型乗用車
495,2002,西,1495.0,普通車貨物
496,2002,平野,76444.0,自動車総数
497,2002,港,2155.0,普通車貨物
