,total,teiki,non_teiki,year
0,1519562,903692,615870,2001
1,1477908,891152,586754,2002
2,1488135,893128,595009,2003
3,1477651,895771,581882,2004
4,1472416,894889,577523,2005
5,1478124,897334,580787,2006
6,1478084,896853,581231,2007
7,1465516,888697,576827,2008
8,1404850,860630,544220,2009
9,1391413,851929,539481,2010
10,1413603,851488,562120,2011
11,1428664,851658,577003,2012
12,1466426,867905,598520,2013
13,1465104,860486,604619,2014
14,1498806,873971,624832,2015
15,1516759,880105,636651,2016
