,year,area,type,amount,kind
138,2015,東淀川,国内事業,51530,従業員
139,2015,東成,国内事業,41429,従業員
140,2015,生野,国内事業,50355,従業員
141,2015,旭,国内事業,26107,従業員
142,2015,城東,国内事業,54138,従業員
143,2015,鶴見,国内事業,38043,従業員
144,2015,阿倍野,国内事業,62694,従業員
145,2015,住之江,国内事業,73043,従業員
146,2015,住吉,国内事業,43218,従業員
147,2015,東住吉,国内事業,46599,従業員
148,2015,平野,国内事業,66856,従業員
149,2015,西成,国内事業,43268,従業員
150,2015,総数,海外事業,146,事業所
151,2015,北,海外事業,28,事業所
152,2015,都島,海外事業,1,事業所
153,2015,福島,海外事業,0,事業所
154,2015,此花,海外事業,0,事業所
155,2015,中央,海外事業,82,事業所
156,2015,西,海外事業,12,事業所
157,2015,港,海外事業,1,事業所
158,2015,大正,海外事業,0,事業所
159,2015,天王寺,海外事業,1,事業所
160,2015,浪速,海外事業,5,事業所
161,2015,西淀川,海外事業,0,事業所
162,2015,淀川,海外事業,9,事業所
163,2015,東淀川,海外事業,0,事業所
164,2015,東成,海外事業,1,事業所
165,2015,生野,海外事業,0,事業所
166,2015,旭,海外事業,0,事業所
167,2015,城東,海外事業,0,事業所
168,2015,鶴見,海外事業,1,事業所
169,2015,阿倍野,海外事業,2,事業所
170,2015,住之江,海外事業,2,事業所
171,2015,住吉,海外事業,0,事業所
172,2015,東住吉,海外事業,0,事業所
173,2015,平野,海外事業,1,事業所
174,2015,西成,海外事業,0,事業所
175,2015,総数,海外事業,1389,従業員
176,2015,北,海外事業,342,従業員
177,2015,都島,海外事業,4,従業員
178,2015,福島,海外事業,0,従業員
179,2015,此花,海外事業,0,従業員
180,2015,中央,海外事業,734,従業員
181,2015,西,海外事業,143,従業員
182,2015,港,海外事業,45,従業員
183,2015,大正,海外事業,0,従業員
184,2015,天王寺,海外事業,1,従業員
185,2015,浪速,海外事業,38,従業員
186,2015,西淀川,海外事業,0,従業員
187,2015,淀川,海外事業,31,従業員
188,2015,東淀川,海外事業,0,従業員
189,2015,東成,海外事業,3,従業員
190,2015,生野,海外事業,0,従業員
191,2015,旭,海外事業,0,従業員
192,2015,城東,海外事業,0,従業員
193,2015,鶴見,海外事業,5,従業員
194,2015,阿倍野,海外事業,14,従業員
195,2015,住之江,海外事業,13,従業員
196,2015,住吉,海外事業,0,従業員
197,2015,東住吉,海外事業,0,従業員
198,2015,平野,海外事業,16,従業員
199,2015,西成,海外事業,0,従業員
