,area,amount,name,year
150,天王寺,2129157,個人普通徴収,2003
151,福島,1043166,個人普通徴収,2003
152,此花,708602,個人普通徴収,2003
153,中央,2743365,個人普通徴収,2003
154,西,1609538,個人普通徴収,2003
155,港,1170310,個人普通徴収,2003
156,大正,846430,個人普通徴収,2003
157,阿倍野,1218642,個人特別徴収,2003
158,都島,1990258,個人普通徴収,2003
159,鶴見,794568,個人特別徴収,2003
160,天王寺,3910039,個人特別徴収,2003
161,旭,2394223,個人特別徴収,2003
162,浪速,1035279,個人普通徴収,2003
163,北,12828941,個人特別徴収,2003
164,都島,1464194,個人特別徴収,2003
165,福島,1532165,個人特別徴収,2003
166,此花,753016,個人特別徴収,2003
167,中央,13800347,個人特別徴収,2003
168,西,4362224,個人特別徴収,2003
169,港,1237538,個人特別徴収,2003
170,大正,756714,個人特別徴収,2003
171,浪速,1486820,個人特別徴収,2003
172,西淀川,2669249,個人特別徴収,2003
173,淀川,5382839,個人特別徴収,2003
174,東淀川,1072875,個人特別徴収,2003
175,東成,1174424,個人特別徴収,2003
176,生野,1343332,個人特別徴収,2003
177,城東,1402618,個人特別徴収,2003
178,西淀川,1108335,個人普通徴収,2003
179,淀川,2997733,個人普通徴収,2003
180,東淀川,2726071,個人普通徴収,2003
181,天王寺,6039196,total,2003
182,浪速,2522099,total,2003
183,西淀川,3777584,total,2003
184,淀川,8380572,total,2003
185,東淀川,3798946,total,2003
186,東成,2565090,total,2003
187,生野,3624606,total,2003
188,旭,4105778,total,2003
189,城東,3852904,total,2003
190,鶴見,2489369,total,2003
191,阿倍野,4400328,total,2003
192,住之江,3270696,total,2003
193,住吉,5528177,total,2003
194,東住吉,4162605,total,2003
195,平野,4817298,total,2003
196,大正,1603144,total,2003
197,港,2407848,total,2003
198,西成,2241921,total,2003
199,中央,16543712,total,2003
200,東成,1390666,個人普通徴収,2003
201,生野,2281274,個人普通徴収,2003
202,旭,1711555,個人普通徴収,2003
203,城東,2450286,個人普通徴収,2003
204,西,5971762,total,2003
205,阿倍野,3181686,個人普通徴収,2003
206,住之江,1721379,個人普通徴収,2003
207,鶴見,1694801,個人普通徴収,2003
208,東住吉,2390712,個人普通徴収,2003
209,平野,3310412,個人普通徴収,2003
210,西成,1344509,個人普通徴収,2003
211,北,15523204,total,2003
212,都島,3454452,total,2003
213,福島,2575331,total,2003
214,此花,1461618,total,2003
215,住吉,3401569,個人普通徴収,2003
216,住之江,1522965,個人特別徴収,2004
217,住吉,2161835,個人特別徴収,2004
218,東住吉,1715280,個人特別徴収,2004
219,平野,1463351,個人特別徴収,2004
220,西成,839492,個人特別徴収,2004
221,北,2719132,個人普通徴収,2004
222,天王寺,2185680,個人普通徴収,2004
223,福島,1071727,個人普通徴収,2004
224,此花,725624,個人普通徴収,2004
225,中央,2559936,個人普通徴収,2004
226,西,1670269,個人普通徴収,2004
227,港,1104483,個人普通徴収,2004
228,大正,833386,個人普通徴収,2004
229,阿倍野,1158608,個人特別徴収,2004
230,都島,1893052,個人普通徴収,2004
231,鶴見,788142,個人特別徴収,2004
232,天王寺,3826194,個人特別徴収,2004
233,旭,2404685,個人特別徴収,2004
234,浪速,1051907,個人普通徴収,2004
235,北,12391925,個人特別徴収,2004
236,都島,1211035,個人特別徴収,2004
237,福島,1450235,個人特別徴収,2004
238,此花,690928,個人特別徴収,2004
239,中央,13224104,個人特別徴収,2004
240,西,4396347,個人特別徴収,2004
241,港,1140682,個人特別徴収,2004
242,大正,733623,個人特別徴収,2004
243,浪速,1391993,個人特別徴収,2004
244,西淀川,2558051,個人特別徴収,2004
245,淀川,5227098,個人特別徴収,2004
246,東淀川,1029354,個人特別徴収,2004
247,東成,1121234,個人特別徴収,2004
248,生野,1261557,個人特別徴収,2004
249,城東,1344483,個人特別徴収,2004
250,西淀川,1065755,個人普通徴収,2004
251,淀川,2862705,個人普通徴収,2004
252,東淀川,2644552,個人普通徴収,2004
253,天王寺,6011874,total,2004
254,浪速,2443900,total,2004
255,西淀川,3623806,total,2004
256,淀川,8089803,total,2004
257,東淀川,3673906,total,2004
258,生野,3513497,total,2004
259,旭,4020670,total,2004
260,城東,3808686,total,2004
261,鶴見,2447148,total,2004
262,阿倍野,4265038,total,2004
263,住之江,3172787,total,2004
264,住吉,5238878,total,2004
265,東住吉,4040697,total,2004
266,平野,4609658,total,2004
267,西成,2142842,total,2004
268,大正,1567009,total,2004
269,港,2245165,total,2004
270,東成,2466934,total,2004
271,中央,15784040,total,2004
272,西,6066616,total,2004
273,生野,2251940,個人普通徴収,2004
274,旭,1615985,個人普通徴収,2004
275,城東,2464203,個人普通徴収,2004
276,鶴見,1659006,個人普通徴収,2004
277,住之江,1649822,個人普通徴収,2004
278,住吉,3077043,個人普通徴収,2004
279,阿倍野,3106430,個人普通徴収,2004
280,平野,3146307,個人普通徴収,2004
281,東成,1345700,個人普通徴収,2004
282,西成,1303350,個人普通徴収,2004
283,北,15111057,total,2004
284,都島,3104087,total,2004
285,福島,2521962,total,2004
286,此花,1416552,total,2004
287,東住吉,2325417,個人普通徴収,2004
288,西成,887405,個人特別徴収,2005
289,住之江,1604780,個人特別徴収,2005
290,住吉,2265926,個人特別徴収,2005
291,東住吉,1765200,個人特別徴収,2005
292,平野,1531642,個人特別徴収,2005
293,北,2883489,個人普通徴収,2005
294,天王寺,2243346,個人普通徴収,2005
295,福島,1069404,個人普通徴収,2005
296,此花,727348,個人普通徴収,2005
297,中央,2757590,個人普通徴収,2005
298,西,1731436,個人普通徴収,2005
299,港,1059473,個人普通徴収,2005
300,大正,816728,個人普通徴収,2005
