,バス,乗用車総数,地域,大型特種,小型乗用車,小型二輪,小型特殊自動車,小型貨物,年度,普通乗用車,普通車貨物,特種用途車,自動車総数,被けん引貨物,貨物自動車総数,軽自動車,電気小型特殊自動車,電気小型自動車,電気自動車総数
50,169,45914,平野,96,27011,1337.0,485,6960,2003,18903,2342,1234.0,75698,42,9344,17119,110.0,1.0,111.0
51,144,29516,住吉,449,16944,1084.0,75,2895,2003,12572,669,450.0,44432,23,3587,9127,8.0,0.0,8.0
52,206,28919,住之江,898,17418,885.0,342,4117,2003,11501,3978,2175.0,52360,2228,10323,8612,173.0,4.0,177.0
53,24,17615,阿倍野,19,9283,700.0,80,1821,2003,8332,340,296.0,25528,2,2163,4631,8.0,0.0,8.0
54,74,23364,鶴見,159,13581,853.0,281,3357,2003,9783,2320,795.0,38456,40,5717,7213,65.0,0.0,65.0
55,128,30224,城東,219,17856,1498.0,299,4332,2003,12368,1260,1117.0,47992,26,5618,8889,77.0,1.0,78.0
56,65,24924,生野,105,14620,987.0,534,4446,2003,10304,1017,682.0,43171,5,5468,10406,114.0,0.0,114.0
57,109,14813,東成,57,8482,573.0,363,3267,2003,6331,946,423.0,25715,28,4241,5136,107.0,2.0,109.0
58,200,33567,東淀川,200,19923,1856.0,182,4378,2003,13644,1502,1052.0,53743,12,5892,10794,82.0,2.0,84.0
59,74,35814,淀川,37,21719,1460.0,256,7420,2003,14095,1307,783.0,56889,52,8779,9686,75.0,1.0,76.0
60,36,17026,旭,44,9920,851.0,90,2141,2003,7106,500,344.0,26397,6,2647,5359,20.0,1.0,21.0
61,13,10371,浪速,201,5747,436.0,251,3549,2003,4624,866,757.0,20830,11,4426,4375,38.0,1.0,39.0
62,81,21090,西淀川,399,12229,788.0,382,4383,2003,8861,3227,1244.0,38030,189,7799,6247,70.0,2.0,72.0
63,18,16907,都島,68,9364,755.0,131,2761,2003,7543,790,461.0,26603,3,3554,4709,51.0,1.0,52.0
64,35,11301,福島,83,6377,481.0,1631,3512,2003,4924,1144,504.0,22736,40,4696,4005,935.0,0.0,935.0
65,273,12712,此花,302,7409,514.0,192,2492,2003,5303,2109,1141.0,24389,281,4882,4373,8.0,1.0,9.0
66,46,26776,中央,178,16427,908.0,192,8448,2003,10349,628,634.0,44259,12,9088,6437,76.0,1.0,77.0
67,195,25214,北,160,14995,898.0,321,8397,2003,10219,1329,649.0,44397,78,9804,7156,83.0,6.0,89.0
68,334,14775,港,955,8453,716.0,297,3061,2003,6322,2117,923.0,29343,680,5858,5485,96.0,0.0,96.0
69,119,14829,大正,339,8730,563.0,190,2998,2003,6099,2688,790.0,28874,504,6190,5854,23.0,0.0,23.0
70,17,11711,天王寺,31,5990,497.0,129,2401,2003,5721,312,161.0,18818,1,2714,3558,41.0,1.0,42.0
71,10,18956,西,264,10876,689.0,434,7253,2003,8080,1455,515.0,35370,331,9039,5463,127.0,6.0,133.0
72,73,36071,淀川,40,21689,1533.0,246,7236,2004,14382,1250,711.0,57274,47,8533,10067,75.0,0.0,75.0
73,216,28758,住之江,891,17135,904.0,307,4038,2004,11623,3930,2142.0,52704,2486,10454,9032,163.0,4.0,167.0
74,24,17753,阿倍野,18,9125,729.0,76,1632,2004,8628,310,287.0,25553,2,1944,4722,7.0,0.0,7.0
75,67,23413,鶴見,164,13397,880.0,261,3214,2004,10016,2240,780.0,38629,44,5498,7566,51.0,0.0,51.0
76,122,30276,城東,214,17612,1534.0,285,4121,2004,12664,1228,965.0,48004,16,5365,9243,79.0,1.0,80.0
77,45,16891,旭,45,9708,878.0,87,1997,2004,7183,450,328.0,26214,6,2453,5487,20.0,1.0,21.0
78,68,24640,生野,105,14308,967.0,527,4209,2004,10332,991,655.0,42818,5,5205,10651,116.0,0.0,116.0
79,122,14807,東成,56,8309,611.0,357,3156,2004,6498,982,404.0,25895,28,4166,5372,107.0,1.0,108.0
80,191,33236,東淀川,200,19509,1813.0,179,4171,2004,13727,1387,984.0,53253,2,5560,11090,88.0,1.0,89.0
81,83,21317,西淀川,395,12254,844.0,385,4294,2004,9063,3168,1254.0,38506,198,7660,6568,75.0,2.0,77.0
