,人口増加率,高齢者割合増加率,area
0,44.661761437411535,3.3797405956718354,北
1,6.815237900963843,10.788694401173387,都島
2,31.540360046457604,3.7052148550577595,福島
3,-2.7331494695676284,12.28049407836962,此花
4,76.02035026667171,-1.0808468865155234,中央
5,57.531444933019735,2.7879441952999198,西
6,-8.368425167826466,13.626126779735978,港
7,-16.882304904812944,16.90458039287744,大正
8,36.17629605653558,4.299972550066665,天王寺
9,42.0259761410366,3.5580429763147556,浪速
10,4.7797748370531306,10.795812949526303,西淀川
11,8.751280690276628,10.26279919654794,淀川
12,-5.594010681381803,12.585203950021873,東淀川
13,2.3204125177809387,8.354851271693235,東成
14,-12.798199248346966,14.385750496875122,生野
15,-10.626341463414635,12.753664969083538,旭
16,5.848441808004011,11.17508505136902,城東
17,14.016332287440084,10.799480200310777,鶴見
18,4.74244061000652,7.179132667904035,阿倍野
19,-11.48376324274528,16.82779646243513,住之江
20,-5.079603429070791,12.685889134574053,住吉
21,-10.709311614951183,12.659042895281427,東住吉
22,-1.9560621472306985,15.683127885706726,平野
23,-21.125281108784694,19.05776753148148,西成
24,3.410823998115601,10.78838410703741,大阪市
